"URI","Label","Definition","Notation","Status","AcceptedDate","owl:sameAs"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3190","Lakes of gypsum karst","","3190","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10240"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/31A0","Transylvanian hot-spring lotus beds","","31A0","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10241"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3200","Running water - sections of water courses with natural or semi-natural dynamics (minor, average and major beds) where the water quality shows no significant deterioration","","3200","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10071"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3210","Fennoscandian natural rivers","","3210","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10072"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3220","Alpine rivers and the herbaceous vegetation along their banks","","3220","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10073"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3230","Alpine rivers and their ligneous vegetation with Myricaria germanica","","3230","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10074"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3240","Alpine rivers and their ligneous vegetation with Salix elaeagnos","","3240","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10075"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3250","Constantly flowing Mediterranean rivers with Glaucium flavum","","3250","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10076"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3260","Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation","","3260","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10077"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3270","Rivers with muddy banks with Chenopodion rubri pp and Bidention pp vegetation","","3270","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10078"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3280","Constantly flowing Mediterranean rivers with Paspalo-Agrostidion species and hanging curtains of Salix and Populus alba","","3280","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10079"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/3290","Intermittently flowing Mediterranean rivers of the Paspalo-Agrostidion","","3290","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10080"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/4000","Temperate heath and scrub","","4000","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10260"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/4010","Northern Atlantic wet heaths with Erica tetralix","","4010","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10082"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/4020","Temperate Atlantic wet heaths with Erica ciliaris and Erica tetralix","","4020","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10083"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/4030","European dry heaths","","4030","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10084"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/4040","Dry Atlantic coastal heaths with Erica vagans","","4040","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10085"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/4050","Endemic macaronesian heaths","","4050","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10086"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/4060","Alpine and Boreal heaths","","4060","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10087"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/4070","Bushes with Pinus mugo and Rhododendron hirsutum (Mugo-Rhododendretum hirsuti)","","4070","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10088"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/4080","Sub-Arctic Salix spp scrub","","4080","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10089"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/4090","Endemic oro-Mediterranean heaths with gorse","","4090","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10090"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/40A0","Subcontinental peri-Pannonic scrub","","40A0","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10242"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/40B0","Rhodope Potentilla fruticosa thickets","","40B0","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10261"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/40C0","Ponto-Sarmatic deciduous thickets","","40C0","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10262"
