Waarde2;NaamWetenschappelijk1;NaamNederlands;Omschrijving1
Indigeniteit;Koeleria macrantha (Ledeb.) Schult.;Smal fakkelgras;inheems
Indigeniteit;Lactuca saligna L.;Wilgsla;inheems
Indigeniteit;Lactuca serriola L.;Kompassla;inheems
Indigeniteit;Lagarosiphon major (Ridley) Moss;Verspreidbladige waterpest;neofyt
Indigeniteit;Lagurus ovatus L.;Hazenstaart;neofyt
Indigeniteit;Lamium album L.;Witte dovenetel;inheems
Indigeniteit;Lamium amplexicaule L.;Hoenderbeet;inheems
Indigeniteit;Lamium galeobdolon (L.) L.;Gele dovenetel;inheems
Indigeniteit;Lamium hybridum Vill.;Ingesneden dovenetel;inheems
Indigeniteit;Lamium maculatum L.;Gevlekte dovenetel;inheems
Indigeniteit;Lamium purpureum L.;Paarse dovenetel;inheems
Indigeniteit;Lapsana communis L.;Akkerkool;inheems
Indigeniteit;Lathraea clandestina L.;Paarse schubwortel;neofyt
Indigeniteit;Lathyrus aphaca L.;Naakte lathyrus;archeofyt
Indigeniteit;Lathyrus hirsutus L.;Ruige lathyrus;neofyt
Indigeniteit;Lathyrus japonicus Willd.;Zeelathyrus;inheems
Indigeniteit;Lathyrus latifolius L.;Brede lathyrus;neofyt
Indigeniteit;Lathyrus linifolius (Reichard) Bässler;Knollathyrus;inheems
Indigeniteit;Lathyrus nissolia L.;Graslathyrus;inheems
Indigeniteit;Lathyrus palustris L.;Moeraslathyrus;inheems
Indigeniteit;Lathyrus pratensis L.;Veldlathyrus;inheems
Indigeniteit;Lathyrus sylvestris L.;Boslathyrus;inheems
Indigeniteit;Lathyrus tuberosus L.;Aardaker;archeofyt
Indigeniteit;Lavatera thuringiaca L.;Thuringse lavatera;neofyt
Indigeniteit;Leersia oryzoides (L.) Swartz;Rijstgras;inheems
Indigeniteit;Legousia hybrida (L.) Delarbre;Klein spiegelklokje;archeofyt
Indigeniteit;Legousia speculum-veneris (L.) Chaix;Groot spiegelklokje;archeofyt
Indigeniteit;Lemna gibba L.;Bultkroos;inheems
Indigeniteit;Lemna minor L.;Klein kroos;inheems
Indigeniteit;Lemna minuta Humb., Bonpl. et Kunth;Dwergkroos;neofyt
Indigeniteit;Lemna trisulca L.;Puntkroos;inheems
Indigeniteit;Lemna turionifera Landolt;Knopkroos;neofyt
Indigeniteit;Leontodon autumnalis L.;Vertakte leeuwentand;inheems
Indigeniteit;Leontodon hispidus L.;Ruige leeuwentand;inheems
Indigeniteit;Leontodon saxatilis Lam.;Kleine leeuwentand;inheems
Indigeniteit;Leonurus cardiaca L.;Hartgespan;archeofyt
Indigeniteit;Lepidium campestre (L.) R. Brown;Veldkruidkers;inheems
Indigeniteit;Lepidium densiflorum Schrad.;Dichtbloemige kruidkers;neofyt
Indigeniteit;Lepidium heterophyllum Benth.;Rozetkruidkers;neofyt
Indigeniteit;Lepidium latifolium L.;Peperkers;neofyt
Indigeniteit;Lepidium ruderale L.;Steenkruidkers;inheems
Indigeniteit;Lepidium virginicum L.;Amerikaanse kruidkers;neofyt
Indigeniteit;Leucanthemum ircutianum (Turcz.) Turcz. ex DC.;;neofyt
Indigeniteit;Leucanthemum vulgare Lam.;Margriet;inheems
Indigeniteit;Leucanthemum x superbum (Ingram) Kent;Reuzenmargriet;neofyt
Indigeniteit;Leucojum aestivum L.;Zomerklokje;inheems
Indigeniteit;Leucojum vernum L.;Lenteklokje;neofyt
Indigeniteit;Leymus arenarius (L.) Hochst.;Zandhaver;inheems
Indigeniteit;Ligustrum ovalifolium Hassk.;Haagliguster;neofyt
Indigeniteit;Ligustrum vulgare L.;Wilde liguster;inheems
Indigeniteit;Lilium bulbiferum L.;Roggelelie;neofyt
Indigeniteit;Limonium vulgare Mill.;Lamsoor;inheems
Indigeniteit;Limosella aquatica L.;Slijkgroen;inheems
Indigeniteit;Linaria arvensis (L.) Desf.;Blauwe leeuwenbek;neofyt
Indigeniteit;Linaria repens (L.) Mill.;Gestreepte leeuwenbek;neofyt
Indigeniteit;Linaria supina (L.) Chazelles;Liggende leeuwenbek;neofyt
Indigeniteit;Linaria vulgaris Mill.;Vlasbekje;inheems
Indigeniteit;Lindernia dubia (L.) Pennell;Schijngenadekruid;neofyt
Indigeniteit;Linum catharticum L.;Geelhartje;inheems
Indigeniteit;Linum grandiflorum Desf.;;neofyt
Indigeniteit;Linum usitatissimum L.;Vlas;archeofyt
Indigeniteit;Liparis loeselii (L.) L.C.M. Rich.;Groenknolorchis;inheems
Indigeniteit;Listera ovata (L.) R. Brown;Grote keverorchis;inheems
Indigeniteit;Lithospermum arvense L.;Ruw parelzaad;inheems
Indigeniteit;Lithospermum officinale L.;Glad parelzaad;inheems
Indigeniteit;Littorella uniflora (L.) Aschers.;Oeverkruid;inheems
Indigeniteit;Lobelia dortmanna L.;Waterlobelia;inheems
Indigeniteit;Lolium multiflorum Lam.;Italiaans raaigras;neofyt
Indigeniteit;Lolium perenne L.;Engels raaigras;inheems
Indigeniteit;Lolium remotum Schrank;Vlasdolik;neofyt
Indigeniteit;Lolium temulentum L.;Dolik;archeofyt
Indigeniteit;Lonicera involucrata (Richardson) Banks ex Spreng.;;neofyt
Indigeniteit;Lonicera nitida Wils.;;neofyt
Indigeniteit;Lonicera periclymenum L.;Wilde kamperfoelie;inheems
Indigeniteit;Lonicera xylosteum L.;Rode kamperfoelie;inheems
Indigeniteit;Lotus corniculatus L.;Gewone en smalle rolklaver;inheems
Indigeniteit;Lotus corniculatus L. subsp. corniculatus;Gewone rolklaver;inheems
Indigeniteit;Lotus corniculatus L. subsp. tenuis (Waldst. et Kit. ex Willd.) Berher;Smalle rolklaver;inheems
Indigeniteit;Lotus pedunculatus Cav.;Moerasrolklaver;inheems
Indigeniteit;Lotus sativus (Hyl.) Büscher & G.H. Loos;Rechte rolklaver;neofyt
Indigeniteit;Ludwigia grandiflora (Michaux) Greuter et Burdet;Waterteunisbloem;neofyt
Indigeniteit;Ludwigia palustris (L.) S. Elliott;Waterlepeltje;inheems
Indigeniteit;Lunaria annua L.;Tuinjudaspenning;neofyt
Indigeniteit;Lupinus polyphyllus Lindl.;Vaste lupine;neofyt
Indigeniteit;Luronium natans (L.) Rafin.;Drijvende waterweegbree;inheems
Indigeniteit;Luzula campestris (L.) DC.;Gewone veldbies;inheems
Indigeniteit;Luzula forsteri (Smith) DC.;Franse veldbies;neofyt
Indigeniteit;Luzula luzuloides (Lam.) Dandy et Wilmott;Witte veldbies;inheems
Indigeniteit;Luzula multiflora (Ehrh.) Lej.;Veelbloemige veldbies;inheems
Indigeniteit;Luzula pilosa (L.) Willd.;Ruige veldbies;inheems
Indigeniteit;Luzula sylvatica (Huds.) Gaudin;Grote veldbies;inheems
Indigeniteit;Lychnis flos-cuculi L.;Echte koekoeksbloem;inheems
Indigeniteit;Lycium barbarum L.;Boksdoorn;neofyt
Indigeniteit;Lycopodiella inundata (L.) Holub;Moeraswolfsklauw;inheems
Indigeniteit;Lycopodium annotinum L.;Stekende wolfsklauw;inheems
Indigeniteit;Lycopodium clavatum L.;Grote wolfsklauw;inheems
Indigeniteit;Lycopus europaeus L.;Wolfspoot;inheems
Indigeniteit;Lysimachia nemorum L.;Boswederik;inheems
Indigeniteit;Lysimachia nummularia L.;Penningkruid;inheems
Indigeniteit;Lysimachia thyrsiflora L.;Moeraswederik;inheems
Indigeniteit;Lysimachia vulgaris L.;Grote wederik;inheems
Indigeniteit;Lythrum portula (L.) D.A. Webb;Waterpostelein;inheems
Indigeniteit;Lythrum salicaria L.;Grote kattenstaart;inheems
Indigeniteit;Mahonia aquifolium (Pursh) Nutt.;Mahonia;neofyt
Indigeniteit;Maianthemum bifolium (L.) F.W. Schmidt;Dalkruid;inheems
Indigeniteit;Malcolmia flexuosa (Sm.) Sm.;Zeeviolier;neofyt
Indigeniteit;Malus sylvestris (L.) Mill.;Wilde appel en eetappel;inheems
Indigeniteit;Malva alcea L.;Vijfdelig kaasjeskruid;archeofyt
Indigeniteit;Malva moschata L.;Muskuskaasjeskruid;inheems
Indigeniteit;Malva neglecta Wallr.;Klein kaasjeskruid;inheems
Indigeniteit;Malva sylvestris L.;Groot kaasjeskruid;inheems
Indigeniteit;Marrubium vulgare L.;Malrove;archeofyt
Indigeniteit;Matricaria discoidea DC.;Schijfkamille;neofyt
Indigeniteit;Matricaria maritima L.;Reukeloze kamille;inheems
Indigeniteit;Matricaria recutita L.;Echte kamille;archeofyt
Indigeniteit;Matteuccia struthiopteris (L.) Tod.;Struisvaren;neofyt
Indigeniteit;Medicago arabica (L.) Huds.;Gevlekte rupsklaver;inheems
Indigeniteit;Medicago falcata L.;Sikkelklaver;inheems
Indigeniteit;Medicago lupulina L.;Hopklaver;inheems
Indigeniteit;Medicago minima (L.) L.;Kleine rupsklaver;inheems
Indigeniteit;Medicago sativa L.;Luzerne;neofyt
Indigeniteit;Melampyrum pratense L.;Hengel;inheems
Indigeniteit;Melica uniflora Retz.;Eenbloemig parelgras;inheems
Indigeniteit;Melilotus albus Med.;Witte honingklaver;archeofyt
Indigeniteit;Melilotus altissimus Thuill.;Goudgele honingklaver;inheems
Indigeniteit;Melilotus officinalis Lam.;Citroengele honingklaver;archeofyt
Indigeniteit;Mentha aquatica L.;Watermunt;inheems
Indigeniteit;Mentha arvensis L.;Akkermunt;inheems
Indigeniteit;Mentha longifolia L.;Hertsmunt;archeofyt of neofyt
Indigeniteit;Mentha pulegium L.;Polei;inheems
Indigeniteit;Mentha spicata L.;Groene munt (+ aarmunt);archeofyt of neofyt
Indigeniteit;Mentha suaveolens Ehrh. (+ hybriden);Witte munt + hybriden;inheems
Indigeniteit;Menyanthes trifoliata L.;Waterdrieblad;inheems
Indigeniteit;Mercurialis annua L.;Tuinbingelkruid;inheems
Indigeniteit;Mercurialis perennis L.;Bosbingelkruid;inheems
Indigeniteit;Mespilus germanica L.;Mispel;archeofyt
Indigeniteit;Mibora minima (L.) Desv.;Dwerggras;inheems
Indigeniteit;Milium effusum L.;Bosgierstgras;inheems
Indigeniteit;Mimulus guttatus DC.;Gele maskerbloem;neofyt
Indigeniteit;Minuartia hybrida (Vill.) Schischkin;Tengere veldmuur;inheems
Indigeniteit;Misopates orontium (L.) Rafin.;Akkerleeuwenbek;inheems
Indigeniteit;Moehringia trinervia (L.) Clairv.;Drienerfmuur;inheems
Indigeniteit;Moenchia erecta (L.) P. Gaertn., B. Mey. et Scherb.;Kruismuur;inheems
Indigeniteit;Molinia caerulea (L.) Moench;Pijpenstrootje;inheems
Indigeniteit;Monotropa hypopitys L.;Stofzaad;inheems
Indigeniteit;Montia fontana L.;Groot bronkruid;inheems
Indigeniteit;Montia minor C.C. Gmel.;Klein bronkruid;inheems
Indigeniteit;Muscari botryoides (L.) Mill.;Blauwe druifjes;neofyt
Indigeniteit;Muscari comosum (L.) Mill.;Kuifhyacint;neofyt
Indigeniteit;Mycelis muralis (L.) Dum.;Muursla;inheems
Indigeniteit;Myosotis arvensis (L.) Hill;Akkervergeet-mij-nietje;inheems
Indigeniteit;Myosotis cespitosa C.F. Schultz;Zompvergeet-mij-nietje;inheems
Indigeniteit;Myosotis discolor Pers.;Veelkleurig vergeet-mij-nietje;inheems
Indigeniteit;Myosotis ramosissima Rochel ex Schult.;Ruw vergeet-mij-nietje;inheems
Indigeniteit;Myosotis scorpioides L.;Moerasvergeet-mij-nietje;inheems
Indigeniteit;Myosotis stricta Link ex Roem. et Schult.;Stijf vergeet-mij-nietje;inheems
Indigeniteit;Myosotis sylvatica Ehrh. ex Hoffmann;Bosvergeet-mij-nietje;inheems
Indigeniteit;Myosoton aquaticum (L.) Moench;Watermuur;inheems
Indigeniteit;Myosurus minimus L.;Muizenstaart;inheems
Indigeniteit;Myrica gale L.;Wilde gagel;inheems
Indigeniteit;Myriophyllum alterniflorum DC.;Teer vederkruid;inheems
Indigeniteit;Myriophyllum aquaticum (Velloso) Verdc.;Parelvederkruid;neofyt
Indigeniteit;Myriophyllum spicatum L.;Aarvederkruid;inheems
Indigeniteit;Myriophyllum verticillatum L.;Kransvederkruid;inheems
Indigeniteit;Myrrhis odorata (L.) Scop.;Roomse kervel;neofyt
Indigeniteit;Najas marina L.;Groot nimfkruid;inheems
Indigeniteit;Najas minor All.;Klein nimfkruid;inheems
Indigeniteit;Narcissus × cyclazetta Chater & Stace;;neofyt
Indigeniteit;Narcissus pseudonarcissus L.;Wilde narcis;inheems
Indigeniteit;Nardus stricta L.;Borstelgras;inheems
Indigeniteit;Narthecium ossifragum (L.) Huds.;Beenbreek;inheems
Indigeniteit;Nassella tenuissima (Trin.) Barkworth;Fijn vedergras;neofyt
Indigeniteit;Nasturtium microphyllum (Boenningh.) Reichenb.;Slanke waterkers;inheems
Indigeniteit;Nasturtium officinale R. Brown;Witte waterkers;inheems
Indigeniteit;Neottia nidus-avis (L.) L.C.M. Rich.;Vogelnestje;inheems
Indigeniteit;Nepeta cataria L.;Wild kattenkruid;archeofyt
Indigeniteit;Nuphar lutea (L.) Smith;Gele plomp;inheems
Indigeniteit;Nymphaea alba L.;Witte waterlelie;inheems
Indigeniteit;Nymphoides peltata (S.G. Gmel.) O. Kuntze;Watergentiaan;inheems
Indigeniteit;Odontites vernus (Bellardi) Dum.;Rode ogentroost;inheems
Indigeniteit;Oenanthe aquatica (L.) Poiret;Watertorkruid;inheems
Indigeniteit;Oenanthe crocata L.;Dodemansvingers;inheems
Indigeniteit;Oenanthe fistulosa L.;Pijptorkruid;inheems
Indigeniteit;Oenanthe lachenalii C.C. Gmel.;Zilt torkruid;inheems
Indigeniteit;Oenanthe pimpinelloides L.;Beverneltorkruid;inheems
Indigeniteit;Oenanthe silaifolia Bieb.;Weidekervel-torkruid;inheems
Indigeniteit;Oenothera biennis L.;Middelste teunisbloem;neofyt
Indigeniteit;Oenothera deflexa R.R. Gates;Zandteunisbloem;neofyt
Indigeniteit;Oenothera glazioviana Micheli;Grote teunisbloem;neofyt
Indigeniteit;Onobrychis viciifolia Scop.;Esparcette;neofyt
Indigeniteit;Ononis repens L.;Kruipend stalkruid;inheems
Indigeniteit;Ononis spinosa L.;Kattendoorn;inheems
Indigeniteit;Onopordum acanthium L.;Wegdistel;inheems
Indigeniteit;Ophioglossum azoricum C. Presl;Azorenaddertong;inheems
Indigeniteit;Ophioglossum vulgatum L.;Addertong;inheems
Indigeniteit;Ophrys apifera Huds.;Bijenorchis;inheems
Indigeniteit;Ophrys fuciflora (F.W. Schmidt) Moench;Hommelorchis;inheems
Indigeniteit;Ophrys insectifera L.;Vliegenorchis;inheems
Indigeniteit;Ophrys sphegodes Mill.;Spinnenorchis;inheems
Indigeniteit;Orchis coriophora L.;Wantsenorchis;inheems
Indigeniteit;Orchis mascula (L.) L.;Mannetjesorchis;inheems
Indigeniteit;Orchis militaris L.;Soldaatje;inheems
Indigeniteit;Orchis morio L.;Harlekijn;inheems
Indigeniteit;Orchis palustris Jacq.;Moerasorchis;inheems
Indigeniteit;Orchis purpurea Huds.;Purperorchis;inheems
Indigeniteit;Orchis simia Lam.;Aapjesorchis;inheems
Indigeniteit;Orchis ustulata L.;Aangebrande orchis;inheems
Indigeniteit;Oreopteris limbosperma (Bellardi ex All.) Holub;Stippelvaren;inheems
Indigeniteit;Origanum vulgare L.;Wilde marjolein;inheems
Indigeniteit;Ornithogalum pyrenaicum L.;Bosvogelmelk;neofyt
Indigeniteit;Ornithogalum umbellatum L.;Gewone vogelmelk;inheems
Indigeniteit;Ornithopus perpusillus L.;Klein vogelpootje;inheems
Indigeniteit;Orobanche caryophyllacea Smith;Walstrobremraap;inheems
Indigeniteit;Orobanche hederae Vaucher ex Duby;Klimopbremraap;inheems
Indigeniteit;Orobanche minor Smith;Klavervreter;inheems
Indigeniteit;Orobanche purpurea Jacq.;Blauwe bremraap;inheems
Indigeniteit;Orobanche ramosa L.;Hennepvreter;archeofyt
Indigeniteit;Orobanche rapum-genistae Thuill.;Grote bremraap;inheems
Indigeniteit;Osmunda regalis L.;Koningsvaren;inheems
Indigeniteit;Oxalis acetosella L.;Witte klaverzuring;inheems
Indigeniteit;Oxalis corniculata L.;Gehoornde klaverzuring;neofyt
Indigeniteit;Oxalis fontana Bunge;Stijve klaverzuring;neofyt
Indigeniteit;Panicum capillare L.;Draadgierst;neofyt
Indigeniteit;Panicum dichotomiflorum Michaux;Kale gierst;neofyt
Indigeniteit;Panicum schinzii Hack.;Zuid-Afrikaanse gierst;neofyt
Indigeniteit;Papaver argemone L.;Ruige klaproos;archeofyt
Indigeniteit;Papaver dubium L.;Bleke klaproos;archeofyt
Indigeniteit;Papaver dubium L. subsp. dubium;;inheems
Indigeniteit;Papaver pseudo-orientale (Fedde) Medw.;;neofyt
Indigeniteit;Papaver rhoeas L.;Grote klaproos;archeofyt
Indigeniteit;Papaver somniferum L.;Slaapbol;neofyt
Indigeniteit;Parapholis strigosa (Dum.) C.E. Hubbard;Dunstaart;inheems
Indigeniteit;Parentucellia latifolia Caruel;;neofyt
Indigeniteit;Parentucellia viscosa (L.) Caruel;Kleverige ogentroost;neofyt
Indigeniteit;Parietaria judaica L.;Klein glaskruid;inheems
Indigeniteit;Parietaria officinalis L.;Groot glaskruid;inheems
Indigeniteit;Paris quadrifolia L.;Eenbes;inheems
Indigeniteit;Parnassia palustris L.;Parnassia;inheems
Indigeniteit;Parthenocissus inserta (A. Kerner) Fritsch;Valse wingerd;neofyt
Indigeniteit;Pastinaca sativa L.;Pastinaak;inheems
Indigeniteit;Pedicularis palustris L.;Moeraskartelblad;inheems
Indigeniteit;Pedicularis sylvatica L.;Heidekartelblad;inheems
Indigeniteit;Pentaglottis sempervirens (L.) Tausch ex L.H. Bailey;Overblijvende ossentong;neofyt
Indigeniteit;Petasites hybridus (L.) P. Gaertn., B. Mey. et Scherb.;Groot hoefblad;inheems
Indigeniteit;Petrorhagia prolifera (L.) P.W. Ball et Heywood;Slanke mantelanjer;inheems
Indigeniteit;Petroselinum segetum (L.) Koch;Wilde peterselie;inheems
Indigeniteit;Peucedanum carvifolia Vill.;Karwijvarkenskervel;inheems
Indigeniteit;Peucedanum palustre (L.) Moench;Melkeppe;inheems
Indigeniteit;Phalaris arundinacea L.;Rietgras;inheems
Indigeniteit;Phegopteris connectilis (Michaux) Watt;Smalle beukvaren;inheems
Indigeniteit;Phleum arenarium L.;Zanddoddengras;inheems
Indigeniteit;Phleum bertolonii DC.;Klein timoteegras;inheems
Indigeniteit;Phleum pratense L.;Gewoon timoteegras;inheems
Indigeniteit;Phragmites australis (Cav.) Steud.;Riet;inheems
Indigeniteit;Phyla nodiflora (L.) Greene;;neofyt
Indigeniteit;Phyteuma nigrum F.W. Schmidt;Zwartblauwe rapunzel;inheems
Indigeniteit;Phyteuma spicatum L.;Witte rapunzel;inheems
Indigeniteit;Phytolacca americana L.;Westerse karmozijnbes;neofyt
Indigeniteit;Phytolacca esculenta Van Houtte;Oosterse karmozijnbes;neofyt
Indigeniteit;Picris echioides L.;Dubbelkelk;inheems
Indigeniteit;Picris hieracioides L.;Echt bitterkruid;inheems
Indigeniteit;Pilularia globulifera L.;Pilvaren;inheems
Indigeniteit;Pimpinella major (L.) Huds.;Grote bevernel;inheems
Indigeniteit;Pimpinella saxifraga L.;Kleine bevernel;inheems
Indigeniteit;Pinguicula vulgaris L.;Vetblad;inheems
Indigeniteit;Pinus sylvestris L.;Grove den;inheems
Indigeniteit;Plantago arenaria Waldst. et Kit.;Zandweegbree;neofyt
Indigeniteit;Plantago coronopus L.;Hertshoornweegbree;inheems
Indigeniteit;Plantago lanceolata L.;Smalle weegbree;inheems
Indigeniteit;Plantago major L.;Grote weegbree;inheems
Indigeniteit;Plantago maritima L.;Zeeweegbree;inheems
Indigeniteit;Plantago media L.;Ruige weegbree;inheems
Indigeniteit;Platanthera bifolia (L.) L.C.M. Rich.;Welriekende nachtorchis;inheems
Indigeniteit;Platanthera chlorantha (Cust.) Reichenb.;Bergnachtorchis;inheems
Indigeniteit;Poa annua L.;Straatgras;inheems
Indigeniteit;Poa bulbosa L.;Knolbeemdgras;inheems
Indigeniteit;Poa chaixii Vill.;Bergbeemdgras;inheems
Indigeniteit;Poa compressa L.;Plat beemdgras;inheems
Indigeniteit;Poa nemoralis L.;Schaduwgras;inheems
Indigeniteit;Poa palustris L.;Moerasbeemdgras;inheems
Indigeniteit;Poa pratensis L.;Veldbeemdgras;inheems
Indigeniteit;Poa pratensis L. subsp. pratensis;;inheems
Indigeniteit;Poa trivialis L.;Ruw beemdgras;inheems
Indigeniteit;Polycarpon tetraphyllum (L.) L.;Kransmuur;neofyt
Indigeniteit;Polygala comosa Schkuhr;Kuifvleugeltjesbloem;inheems
Indigeniteit;Polygala serpyllifolia Hose;Liggende vleugeltjesbloem;inheems
Indigeniteit;Polygala vulgaris L.;Gewone vleugeltjesbloem;inheems
Indigeniteit;Polygonatum multiflorum (L.) All.;Gewone salomonszegel;inheems
Indigeniteit;Polygonatum odoratum (Mill.) Druce;Welriekende salomonszegel;inheems
Indigeniteit;Polygonum amphibium L.;Veenwortel;inheems
Indigeniteit;Polygonum aviculare L.;Varkensgras;inheems
Indigeniteit;Polygonum bistorta L.;Adderwortel;inheems
Indigeniteit;Polygonum capitatum Ham. ex D. Don;;neofyt
Indigeniteit;Polygonum hydropiper L.;Waterpeper;inheems
Indigeniteit;Polygonum lapathifolium L.;Beklierde duizendknoop;inheems
Indigeniteit;Polygonum minus Huds.;Kleine duizendknoop;inheems
Indigeniteit;Polygonum mite Schrank;Zachte duizendknoop;inheems
Indigeniteit;Polygonum oxyspermum C.A.Mey. & Bunge;Zandvarkensgras;inheems
Indigeniteit;Polygonum persicaria L.;Perzikkruid;inheems
Indigeniteit;Polygonum polystachyum Wall. ex Meissner;Afghaanse duizendknoop;neofyt
Indigeniteit;Polypodium interjectum Shivas;Brede eikvaren;inheems
Indigeniteit;Polypodium vulgare L.;Gewone eikvaren;inheems
Indigeniteit;Polypodium vulgare s.l.;Eikvaren;inheems
Indigeniteit;Polypogon monspeliensis (L.) Desf.;Baardgras;neofyt
Indigeniteit;Polystichum aculeatum (L.) Roth;Stijve naaldvaren;inheems
Indigeniteit;Polystichum setiferum (Forssk.) Woynar;Zachte naaldvaren;inheems
Indigeniteit;Populus alba L. (+ Populus x canescens (Ait.) Smith);Witte en grauwe abeel;neofyt
Indigeniteit;Populus nigra L. var. nigra;Zwarte populier var. nigra;inheems
Indigeniteit;Populus tremula L.;Ratelpopulier;inheems
Indigeniteit;Populus x canadensis Moench;Canadapopulier;neofyt
Indigeniteit;Portulaca oleracea L.;Postelein;neofyt
Indigeniteit;Potamogeton acutifolius Link;Spits fonteinkruid;inheems
Indigeniteit;Potamogeton alpinus Balb.;Rossig fonteinkruid;inheems
Indigeniteit;Potamogeton berchtoldii Fieb.;Klein fonteinkruid;inheems
Indigeniteit;Potamogeton coloratus Hornem.;Weegbreefonteinkruid;inheems
Indigeniteit;Potamogeton compressus L.;Plat fonteinkruid;inheems
Indigeniteit;Potamogeton crispus L.;Gekroesd fonteinkruid;inheems
Indigeniteit;Potamogeton friesii Rupr.;Puntig fonteinkruid;inheems
Indigeniteit;Potamogeton gramineus L.;Ongelijkbladig fonteinkruid;inheems
Indigeniteit;Potamogeton lucens L.;Glanzig fonteinkruid;inheems
Indigeniteit;Potamogeton natans L.;Drijvend fonteinkruid;inheems
Indigeniteit;Potamogeton nodosus Poiret;Rivierfonteinkruid;inheems
Indigeniteit;Potamogeton obtusifolius Mert. et Koch;Stomp fonteinkruid;inheems
Indigeniteit;Potamogeton pectinatus L.;Schedefonteinkruid;inheems
Indigeniteit;Potamogeton perfoliatus L.;Doorgroeid fonteinkruid;inheems
Indigeniteit;Potamogeton polygonifolius Pourr.;Duizendknoopfonteinkruid;inheems
Indigeniteit;Potamogeton praelongus Wulfen;Langstengelig fonteinkruid;inheems
Indigeniteit;Potamogeton pusillus L.;Tenger fonteinkruid;inheems
Indigeniteit;Potamogeton trichoides Cham. et Schlecht.;Haarfonteinkruid;inheems
Indigeniteit;Potamogeton zizii Koch ex Rothb;Gegolfd fonteinkruid;inheems
Indigeniteit;Potentilla anglica Laichard.;Kruipganzerik;inheems
Indigeniteit;Potentilla anserina L.;Zilverschoon;inheems
Indigeniteit;Potentilla argentea L.;Viltganzerik;inheems
Indigeniteit;Potentilla erecta (L.) Räuschel;Tormentil;inheems
Indigeniteit;Potentilla fruticosa L.;Struikganzerik;neofyt
Indigeniteit;Potentilla intermedia L.;Middelste ganzerik;neofyt
Indigeniteit;Potentilla neumanniana Reichenb.;Voorjaarsganzerik;inheems
Indigeniteit;Potentilla norvegica L.;Noorse ganzerik;neofyt
Indigeniteit;Potentilla recta L.;Rechte ganzerik;neofyt
Indigeniteit;Potentilla reptans L.;Vijfvingerkruid;inheems
Indigeniteit;Potentilla rivalis Nutt. ex Torr. et A. Gray;Oeverganzerik;neofyt
Indigeniteit;Potentilla sterilis (L.) Garcke;Aardbeiganzerik;inheems
Indigeniteit;Potentilla supina L.;Liggende ganzerik;inheems
Indigeniteit;Primula elatior (L.) Hill;Slanke sleutelbloem;inheems
Indigeniteit;Primula veris L.;Gulden sleutelbloem;inheems
Indigeniteit;Primula vulgaris Huds.;Stengelloze sleutelbloem;inheems
Indigeniteit;Prunella vulgaris L.;Gewone brunel;inheems
Indigeniteit;Prunus avium (L.) L.;Zoete kers;inheems
Indigeniteit;Prunus cerasifera Ehrh.;Kerspruim;neofyt
Indigeniteit;Prunus laurocerasus L.;Laurierkers;neofyt
Indigeniteit;Prunus padus L.;Vogelkers;inheems
Indigeniteit;Prunus serotina Ehrh.;Amerikaanse vogelkers;neofyt
Indigeniteit;Prunus spinosa L.;Sleedoorn;inheems
Indigeniteit;Pseudofumaria alba (Mill.) Lidén;Geelwitte helmbloem;neofyt
Indigeniteit;Pseudofumaria lutea (L.) Borkh.;Gele helmbloem;neofyt
Indigeniteit;Ptelea trifoliata L.;Hopboom;neofyt
Indigeniteit;Pteridium aquilinum (L.) Kuhn;Adelaarsvaren;inheems
Indigeniteit;Pterostyrax hispidus Siebold & Zucc.;;neofyt
Indigeniteit;Puccinellia capillaris (Liljebl.) Jansen;Bleek kweldergras;inheems
Indigeniteit;Puccinellia distans (L.) Parl.;Stomp kweldergras;inheems
Indigeniteit;Puccinellia fasciculata (Torr.) E.P. Bicknell;Blauw kweldergras;inheems
Indigeniteit;Puccinellia maritima (Huds.) Parl.;Gewoon kweldergras;inheems
Indigeniteit;Pulicaria dysenterica (L.) Bernh.;Heelblaadjes;inheems
Indigeniteit;Pulicaria vulgaris Gaertn.;Klein vlooienkruid;inheems
Indigeniteit;Pulmonaria officinalis L.;Gevlekt longkruid;neofyt
Indigeniteit;Pyracantha coccinea Roem.;Vuurdoorn;neofyt
Indigeniteit;Pyrola minor L.;Klein wintergroen;inheems
Indigeniteit;Pyrola rotundifolia L.;Rond wintergroen;inheems
Indigeniteit;Pyrus communis L.;Gekweekte peer;archeofyt of neofyt
Indigeniteit;Pyrus pyraster (L.) Duroi;Wilde peer;inheems
Indigeniteit;Quercus petraea Lieblein;Wintereik;inheems
Indigeniteit;Quercus robur L.;Zomereik;inheems
Indigeniteit;Quercus rubra L.;Amerikaanse eik;neofyt
Indigeniteit;Radiola linoides Roth;Dwergvlas;inheems
Indigeniteit;Ranunculus acris L.;Scherpe boterbloem;inheems
Indigeniteit;Ranunculus aquatilis L.;Middelste waterranonkel;inheems
Indigeniteit;Ranunculus arvensis L.;Akkerboterbloem;archeofyt
Indigeniteit;Ranunculus auricomus L.;Gulden boterbloem;inheems
Indigeniteit;Ranunculus baudotii Godr.;Zilte waterranonkel;inheems
Indigeniteit;Ranunculus bulbosus L.;Knolboterbloem;inheems
Indigeniteit;Ranunculus circinatus Sibth.;Stijve waterranonkel;inheems
