Waarde2;NaamWetenschappelijk1;NaamNederlands;Omschrijving1
Indigeniteit;Bidens connata Muhlenb. ex Willd.;Smal tandzaad;neofyt
Indigeniteit;Bidens frondosa L.;Zwart tandzaad;neofyt
Indigeniteit;Bidens tripartita L.;Veerdelig tandzaad;inheems
Indigeniteit;Blackstonia perfoliata (L.) Huds.;Zomerbitterling;inheems
Indigeniteit;Blechnum spicant (L.) Roth;Dubbelloof;inheems
Indigeniteit;Blysmus compressus (L.) Panzer ex Link;Platte bies;inheems
Indigeniteit;Bolboschoenus planiculmis (F.Schmidt) T.V.Egorova;Oostelijke bies;neofyt
Indigeniteit;Botrychium lunaria (L.) Swartz;Gelobde maanvaren;inheems
Indigeniteit;Botrychium matricariifolium (A. Braun ex Döll) Koch;Vertakte maanvaren;inheems
Indigeniteit;Botrychium simplex Hitchc.;Kleine maanvaren;inheems
Indigeniteit;Brachypodium pinnatum (L.) Beauv.;Gevinde kortsteel;inheems
Indigeniteit;Brachypodium sylvaticum (Huds.) Beauv.;Boskortsteel;inheems
Indigeniteit;Brassica nigra (L.) Koch;Zwarte mosterd;archeofyt
Indigeniteit;Brassica rapa L.;Raapzaad;neofyt
Indigeniteit;Briza media L.;Bevertjes;inheems
Indigeniteit;Bromus arvensis L.;Akkerdravik;inheems of archeofyt
Indigeniteit;Bromus carinatus Hook. et Arnott;Gekielde dravik;neofyt
Indigeniteit;Bromus commutatus Schrad.;Grote trosdravik;inheems
Indigeniteit;Bromus diandrus Roth;Stijve dravik;inheems
Indigeniteit;Bromus erectus Huds.;Bergdravik;inheems
Indigeniteit;Bromus grossus Desf. ex DC.;Zware dreps;archeofyt
Indigeniteit;Bromus hordeaceus L.;Zachte dravik;inheems
Indigeniteit;Bromus inermis Leyss.;Kweekdravik;neofyt
Indigeniteit;Bromus racemosus L.;Trosdravik;inheems
Indigeniteit;Bromus ramosus Huds.;Ruwe dravik;inheems
Indigeniteit;Bromus secalinus L.;Dreps;archeofyt
Indigeniteit;Bromus sterilis L.;IJle dravik;inheems
Indigeniteit;Bromus tectorum L.;Zwenkdravik;inheems
Indigeniteit;Bromus thominei Hardouin;Duindravik;inheems
Indigeniteit;Bryonia dioica Jacq.;Heggenrank;inheems
Indigeniteit;Buddleja davidii Franch.;Vlinderstruik;neofyt
Indigeniteit;Bunias orientalis L.;Grote hardvrucht;neofyt
Indigeniteit;Bupleurum rotundifolium L.;Doorwas;inheems
Indigeniteit;Bupleurum tenuissimum L.;Fijn goudscherm;inheems
Indigeniteit;Butomus umbellatus L.;Zwanenbloem;inheems
Indigeniteit;Cabomba caroliniana A. Gray;Waterwaaier;neofyt
Indigeniteit;Cakile maritima Scop.;Zeeraket;inheems
Indigeniteit;Calamagrostis canescens (Weber) Roth;Hennegras;inheems
Indigeniteit;Calamagrostis epigejos (L.) Roth;Gewoon struisriet;inheems
Indigeniteit;Calamintha ascendens Jord.;Opstijgende steentijm;inheems
Indigeniteit;Calamintha nepeta (L.) Savi;Kleinbloemige steentijm;neofyt
Indigeniteit;Calla palustris L.;Slangenwortel;inheems
Indigeniteit;Callitriche brutia Petagna;Gesteeld sterrenkroos;inheems
Indigeniteit;Callitriche hamulata Kütz. ex Koch;Haaksterrenkroos;inheems
Indigeniteit;Callitriche obtusangula Le Gall;Stomphoekig sterrenkroos;inheems
Indigeniteit;Callitriche palustris L.;Klein sterrenkroos;inheems
Indigeniteit;Callitriche platycarpa Kütz.;Gewoon sterrenkroos;inheems
Indigeniteit;Callitriche stagnalis Scop.;Gevleugeld sterrenkroos;inheems
Indigeniteit;Callitriche truncata Guss.;Doorschijnend sterrenkroos;inheems
Indigeniteit;Calluna vulgaris (L.) Hull;Struikhei;inheems
Indigeniteit;Caltha palustris L.;Dotterbloem;inheems
Indigeniteit;Calystegia sepium (L.) R. Brown;Haagwinde;inheems
Indigeniteit;Calystegia silvatica Griseb.;Gestreepte winde;neofyt
Indigeniteit;Calystegia soldanella (L.) R. Brown;Zeewinde;inheems
Indigeniteit;Camelina alyssum (Mill.) Thell.;Vlashuttentut;neofyt
Indigeniteit;Campanula latifolia L.;Breed klokje;neofyt
Indigeniteit;Campanula patula L.;Weideklokje;neofyt
Indigeniteit;Campanula persicifolia L.;Prachtklokje;inheems
Indigeniteit;Campanula portenschlagiana Schult.;Dalmatiëklokje;neofyt
Indigeniteit;Campanula poscharskyana Degen;Kruipklokje;neofyt
Indigeniteit;Campanula rapunculoides L.;Akkerklokje;inheems
Indigeniteit;Campanula rapunculus L.;Rapunzelklokje;inheems
Indigeniteit;Campanula rhomboidalis L.;Bergklokje;neofyt
Indigeniteit;Campanula rotundifolia L.;Grasklokje;inheems
Indigeniteit;Campanula trachelium L.;Ruig klokje;inheems
Indigeniteit;Capsella bursa-pastoris (L.) Med.;Herderstasje;inheems
Indigeniteit;Cardamine amara L.;Bittere veldkers;inheems
Indigeniteit;Cardamine flexuosa With.;Bosveldkers;inheems
Indigeniteit;Cardamine hirsuta L.;Kleine veldkers;inheems
Indigeniteit;Cardamine impatiens L.;Springzaadveldkers;neofyt
Indigeniteit;Cardamine occulta Hornem.;Aziatische veldkers;neofyt
Indigeniteit;Cardamine pratensis L.;Pinksterbloem;inheems
Indigeniteit;Cardaminopsis arenosa (L.) Hayek;Rozetsteenkers;neofyt
Indigeniteit;Cardaria draba (L.) Desv.;Pijlkruidkers;neofyt
Indigeniteit;Carduus crispus L.;Kruldistel;inheems
Indigeniteit;Carduus nutans L.;Knikkende distel;inheems
Indigeniteit;Carduus tenuiflorus Curt.;Tengere distel;inheems
Indigeniteit;Carex acuta L.;Scherpe zegge;inheems
Indigeniteit;Carex acutiformis Ehrh.;Moeraszegge;inheems
Indigeniteit;Carex arenaria L.;Zandzegge;inheems
Indigeniteit;Carex binervis Smith;Tweenervige zegge;inheems
Indigeniteit;Carex bohemica Schreb.;Cyperzegge;inheems
Indigeniteit;Carex brizoides L.;Trilgraszegge;neofyt
Indigeniteit;Carex canescens L.;Zompzegge;inheems
Indigeniteit;Carex caryophyllea Latourr.;Voorjaarszegge;inheems
Indigeniteit;Carex cuprina (Sándor ex Heuffel) Nendtvich ex A. Kerner;Valse voszegge;inheems
Indigeniteit;Carex demissa Vahl ex Hartm.;Geelgroene zegge;inheems
Indigeniteit;Carex diandra Schrank;Ronde zegge;inheems
Indigeniteit;Carex digitata L.;Vingerzegge;inheems
Indigeniteit;Carex dioica L.;Tweehuizige zegge;inheems
Indigeniteit;Carex distans L.;Zilte zegge;inheems
Indigeniteit;Carex disticha Huds.;Tweerijige zegge;inheems
Indigeniteit;Carex divisa Huds.;Kustzegge;inheems
Indigeniteit;Carex divulsa Stokes;Groene bermzegge (bleke en ijle bermzegge);inheems
Indigeniteit;Carex echinata Murray;Sterzegge;inheems
Indigeniteit;Carex elata All.;Stijve zegge;inheems
Indigeniteit;Carex elongata L.;Elzenzegge;inheems
Indigeniteit;Carex extensa Good.;Kwelderzegge;inheems
Indigeniteit;Carex flacca Schreb.;Zeegroene zegge;inheems
Indigeniteit;Carex flava L.;Gele zegge;inheems
Indigeniteit;Carex hirta L.;Ruige zegge;inheems
Indigeniteit;Carex hostiana DC.;Blonde zegge;inheems
Indigeniteit;Carex lasiocarpa Ehrh.;Draadzegge;inheems
Indigeniteit;Carex lepidocarpa Tausch;Schubzegge;inheems
Indigeniteit;Carex limosa L.;Slijkzegge;inheems
Indigeniteit;Carex muricata L.;Dichte bermzegge;inheems
Indigeniteit;Carex nigra (L.) Reichard;Zwarte zegge;inheems
Indigeniteit;Carex ovalis Good.;Hazenzegge;inheems
Indigeniteit;Carex pallescens L.;Bleke zegge;inheems
Indigeniteit;Carex panicea L.;Blauwe zegge;inheems
Indigeniteit;Carex paniculata L.;Pluimzegge;inheems
Indigeniteit;Carex pendula Huds.;Hangende zegge;inheems
Indigeniteit;Carex pilulifera L.;Pilzegge;inheems
Indigeniteit;Carex pseudocyperus L.;Hoge cyperzegge;inheems
Indigeniteit;Carex pulicaris L.;Vlozegge;inheems
Indigeniteit;Carex punctata Gaudin;Stippelzegge;inheems
Indigeniteit;Carex reichenbachii Bonnet;Valse zandzegge;inheems
Indigeniteit;Carex remota Jusl. ex L.;IJle zegge;inheems
Indigeniteit;Carex riparia Curt.;Oeverzegge;inheems
Indigeniteit;Carex rostrata Stokes;Snavelzegge;inheems
Indigeniteit;Carex scoparia Willd.;;neofyt
Indigeniteit;Carex spicata Huds.;Gewone bermzegge;inheems
Indigeniteit;Carex strigosa Huds.;Slanke zegge;inheems
Indigeniteit;Carex sylvatica Huds.;Boszegge;inheems
Indigeniteit;Carex trinervis Degl.;Drienervige zegge;inheems
Indigeniteit;Carex vesicaria L.;Blaaszegge;inheems
Indigeniteit;Carex viridula s.l.;Dwergzegge groep;inheems
Indigeniteit;Carex vulpina L.;Voszegge;inheems
Indigeniteit;Carlina vulgaris L.;Driedistel;inheems
Indigeniteit;Carpinus betulus L.;Haagbeuk;inheems
Indigeniteit;Carpobrotus edulis (L.) N.E.Br.;Hottentotvijg;neofyt
Indigeniteit;Carum verticillatum (L.) Koch;Kranskarwij;inheems
Indigeniteit;Castanea sativa Mill.;Tamme kastanje;archeofyt
Indigeniteit;Catabrosa aquatica (L.) Beauv.;Watergras;inheems
Indigeniteit;Catapodium marinum (L.) C.E. Hubbard;Laksteeltje;inheems
Indigeniteit;Catapodium rigidum (L.) C.E. Hubbard;Stijf hardgras;inheems
Indigeniteit;Cenchrus flaccidus (Griseb.) Morrone;Slank lampenpoetsergras;neofyt
Indigeniteit;Centaurea calcitrapa L.;Kalketrip;archeofyt
Indigeniteit;Centaurea cyanus L.;Korenbloem;archeofyt
Indigeniteit;Centaurea L. subg. Jacea;Knoopkruid s.l.;inheems
Indigeniteit;Centaurea scabiosa L.;Grote centaurie;inheems
Indigeniteit;Centaurium erythraea Rafn;Echt duizendguldenkruid;inheems
Indigeniteit;Centaurium littorale (D. Turn.) Gilm.;Strandduizendguldenkruid;inheems
