Family;Horticultural name;Taxon category;Confidence level determination;Retailer 1;Retailer 2;Retailer 3;Retailer 4;Retailer 5;Plant producer 1;Plant producer 2;Unknown Plant producer;Retailer 2*;Retailer 3*;Retailer 4;Retailer 5;Retailer 6;Retailer 7;Retailer 8;Retailer 9;Retailer 10;Retailer 11;Plant producer 1;Plant producer 2;Plant producer 3;Plant producer 4;Plant producer 5;Unknown Plant producer;Belgian Consensus List;Belgian Communication List;European Union List
Araliaceae;Hydrocotyle sibthorpioides 'Variegata';cultivar;high;;x;;x;x;;x;;;;x;;;;;;;x;;x;;;;;;;
Araliaceae;Hydrocotyle vulgaris;species;high;x;x;x;x;x;x;x;;;;;x;;;x;x;;x;;x;;x;;;;;
Hypericaceae;Hypericum elodes;species;high;;x;x;x;x;;x;;;;x;x;;;;;;x;;x;;;;;;;
Poaceae ;Imperata cylindrica 'Red Baron';cultivar;high;x;;;;;x;;;;;;;x;;;;;;;;;;x;;;;
Iridaceae;Iris 'Ann Chowning';hybrid;high;;x;x;x;;;x;;;;;x;;;x;x;;;;x;;;;;;;
Iridaceae;Iris 'Black Gamecock';hybrid;high;;x;x;x;;;x;;;;;;;;;;;;;;;;;;;;
Iridaceae;Iris 'Butter and Sugar';hybrid;high;;;;x;;;x;;;;;;;;;;;;;;;;;;;;
Iridaceae;Iris ensata ;species;high;x;x;;x;x;x;x;;;;x;;;x;x;;;;x;x;;;;;;;
Iridaceae;Iris ensata 'Alba';cultivar;high;;;;;;;;;;;;;;x;x;;x;x;;x;;;;;;;
Iridaceae;Iris ensata 'Rose Queen';cultivar;high;;x;x;x;x;;x;;;;x;x;;x;;x;;;;x;;;;;;;
Iridaceae;Iris ensata 'Variegata';cultivar;high;;x;x;x;;;x;;;;;x;;;;;;x;;x;;;;;;;
Iridaceae;Iris laevigata;species;high;x;x;x;x;;x;x;;;;x;x;;;;x;;;;x;;;;;;;
Iridaceae;Iris laevigata 'Mottled Beauty';cultivar;high;;x;x;x;x;;x;;;;;x;;;x;;;;;x;;;;;;;
Iridaceae;Iris laevigata 'Snowdrift';cultivar;high;x;x;x;x;x;x;x;;;;;;;;;x;;;;x;;;;;;;
Iridaceae;Iris laevigata 'Variegata';cultivar;high;x;;;;;x;;;;;x;;;;;;;;;x;;;;;;;
Iridaceae;Iris 'Louisiana';hybrid;high;x;;;;;x;;;;;;;;;;;;;;;;;;;;;
Iridaceae;Iris pseudacorus ;species;high;x;x;x;x;x;x;x;;;;x;;x;x;x;x;x;x;x;x;;;x;;;;
Iridaceae;Iris pseudacorus 'Variegata';cultivar;high;;x;;x;x;;x;;;;x;x;;;x;;;;x;x;;;;;;;
Iridaceae;Iris sanguinea 'Snow Queen';cultivar;high;;x;;x;;;x;;;;;;;;;;;;;;;;;;;;
Iridaceae;Iris setosa;species;high;;x;x;x;;;x;;;;;;;;;;;x;;x;;;;;;;
Iridaceae;Iris sibirica;species;high;;x;x;x;;;x;;;;x;;;;x;;x;;;x;;;;;;;
Iridaceae;Iris versicolor;species;high;x;x;x;x;x;x;x;;;;x;;;;;;;;;x;;;;;;;
Cyperaceae;Isolepis cernua;species;high;;x;x;x;x;;x;;;;;;;;;;;;;;;;;;;;
Juncaceae;Juncus effusus;species;high;x;x;;x;x;x;x;;;;x;x;;;;;;;;x;;;;;;;
Juncaceae;Juncus effusus 'Spiralis';cultivar;low;x;x;x;x;x;x;x;;;;x;x;;x;x;;;x;;x;;;;;;;
Juncaceae;Juncus ensifolius;species;high;x;x;x;x;x;x;x;;;;x;x;;x;;;;x;;x;;;;;;;
Juncaceae;Juncus inflexus;species;high;x;x;x;x;x;x;x;;;;x;x;;;;;;;;x;;;;;;;
Hydrocharitaceae;Lagarosiphon major;species;high;;x;;;;;x;x;;;;;;;;;;;;;;;;;x;;x
Apiaceae‎;Lilaeopsis brasiliensis;species;high;;x;x;x;;;x;;;;;x;;x;;;;;;x;;;;;;;
Hydrocharitaceae;Limnobium spongia;species;high;;x;;;;;x;;;;;;;;;;;;;;;;;;;;
Campanulaceae;Lobelia cardinalis;species;high;;x;x;x;x;;x;;;;x;;;;;;;;;x;;;;;;;
Campanulaceae;Lobelia cardinalis 'Queen Victoria';cultivar;high;x;x;x;x;;x;x;;;;x;;;;x;;;;x;x;;;;;;;
Campanulaceae;Lobelia siphilitica;species;high;;x;x;x;x;;x;;;;x;x;;;;;;;;x;;;;;;;
Campanulaceae;Lobelia siphilitica 'Alba';cultivar;high;;x;x;x;x;;x;;;;x;x;;;x;;;x;;x;;;;;;;
Caryophyllaceae;Lychnis flos-cuculi;species;high;x;x;x;x;x;x;x;;;;x;x;;x;;;;x;;x;;;;;;;
Araceae;Lysichiton americanus;species;high;x;x;x;;;x;x;;;;;;;;;;;;;;;;;;;x;x
Araceae;Lysichiton camtschatcensis;species;high;;x;x;x;x;;x;;;;x;x;;x;x;x;;x;x;x;;;;;;;
Primulaceae;Lysimachia nummularia ;species;high;x;x;x;x;x;x;x;;;;x;x;;x;x;;;;x;x;;;;;;;
Primulaceae;Lysimachia nummularia 'Alba';cultivar;high;;x;;;;;x;;;;;;;;;;;;;;;;;;;;
Primulaceae;Lysimachia nummularia 'Aurea';cultivar;high;x;x;x;x;;x;x;;;;x;x;;;x;;;x;x;x;;;;;;;
Primulaceae;Lysimachia punctata 'Alexander';cultivar;high;;x;;x;x;;x;;;;x;x;;;;;;x;;x;;;;;;;
Primulaceae;Lysimachia thyrsiflora;species;high;x;x;;x;x;x;x;;;;x;x;;;;;;x;;x;;;;;;;
Lythraceae;Lythrum salicaria;species;high;x;x;x;x;x;x;x;;;;x;;;x;x;;;x;;x;;;;;;;
Marsileaceae;Marsilea quadrifolia;species;high;;;;;;;;;;;x;;;x;;;;x;;x;;;;;;;
Mazaceae ;Mazus reptans 'Albus';cultivar;high;x;x;x;x;x;x;x;;;;x;x;;x;x;x;;;x;x;;;;;;;
Mazaceae ;Mazus reptans;species;high;x;x;x;x;x;x;x;;;;x;x;;x;x;x;;x;x;x;;;;;;;
Lamiaceae;Mentha aquatica;species;high;x;x;x;x;x;x;x;;;;x;x;;;x;;;;x;x;;;;;;;
Lamiaceae;Mentha cervina ;species;high;x;x;x;x;x;x;x;;;;x;;;;;;;x;;x;;x;;;;;
Lamiaceae;Mentha cervina 'Alba';cultivar;high;x;x;x;x;x;x;x;;;;x;;;;x;;;x;x;x;;;;;;;
Lamiaceae;Mentha pulegium;species;high;;x;x;x;x;;x;;;;x;;;;;;;x;;x;;;;;;;
Menyanthaceae;Menyanthes trifoliata;species;high;x;x;;;;x;x;;;;x;;;x;;x;;x;;x;;;;;;;
Phrymaceae;Mimulus 'Bonfire';hybrid;high;;;;x;x;;x;;;;;;;;;;;;;;;;;;;;
