Search results from the CABI Horizon Scanning Tool <2022-01-25>,,,,,,,,,,,,,,,,,,,,
"Area at risk: Belgium ; Source Areas: France, Germany, Luxembourg, Netherlands ; Pathways: N/A (Including datasheets with no pathways data) ; Plant hosts: N/A ; Plant parts in trade: N/A  (Including datasheets with no plant part in trade data) ; Habitats: N/A  (Including datasheets with no habitats data) ; Taxonomic group: N/A",,,,,,,,,,,,,,,,,,,,
"Citation: <CABI, 2022. Horizon Scanning Tool. Crop Protection Compendium. Wallingford, UK: CAB International. https://www.cabi.org/cpc.>",,,,,,,,,,,,,,,,,,,,
Search Url: https://www.cabi.org/HorizonScanningTool/Country/SearchResult?guId=5e905232-cf28-4582-95f8-6b2bb560174f,,,,,,,,,,,,,,,,,,,,
For terms and conditions see: https://www.cabi.org/terms-and-conditions/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Preferred scientific name,International common name,Taxonomic group,ISC content,CPC content,Datasheet Type,Domain,Kingdom,Phylum,Class,Order,Family,Invasive Somewhere,Total number of presence records,Number of presence records in neighbouring geographic areas,Number of presence records in geographic areas with matching climate,Total Hosts,Habitats,Plant parts in trade,Pathways,Datasheet URL(s)
Glischrochilus quadrisignatus,fourspotted sap beetle,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Nitidulidae,,17,1,12,2,,no data,no data,https://www.cabi.org/cpc/datasheet/25284
Globodera tabacum,tobacco cyst nematode,Invertebrates,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Nematoda,Secernentea,Tylenchida,Heteroderidae,invasive,22,1,19,11,no data,,,https://www.cabi.org/cpc/datasheet/27037; https://www.cabi.org/isc/datasheet/27037
Globularia punctata,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Scrophulariales,Globulariaceae,invasive,3,1,2,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114593
Gloeotinia granigena,blind seed disease: grasses,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,19,3,16,4,no data,,no data,https://www.cabi.org/cpc/datasheet/25368
Glomerella cingulata,anthracnose,Fungi/Chromista,,Full datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Sordariomycetes,,Glomerellaceae,,215,3,74,244,no data,,no data,https://www.cabi.org/cpc/datasheet/25356
Glycaspis brimblecombei,red gum lerp psyllid,Invertebrates,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Psyllidae,invasive,67,1,37,17,,,,https://www.cabi.org/cpc/datasheet/25242; https://www.cabi.org/isc/datasheet/25242
Glycyphagus domesticus,"house, mite, common",Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Arachnida,Astigmata,Glycyphagidae,,28,2,22,1,,no data,no data,https://www.cabi.org/cpc/datasheet/25425
Gnathocerus cornutus,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,invasive,17,2,13,0,,no data,no data,https://www.cabi.org/isc/datasheet/114613
Gnathocerus maxillosus,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Tenebrionidae,invasive,3,1,3,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114614
Gnathotrichus materiarius,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Scolytidae,invasive,10,3,9,0,,no data,no data,https://www.cabi.org/isc/datasheet/114615
Gnomonia comari,stem-end rot,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Valsaceae,,34,3,24,9,no data,no data,no data,https://www.cabi.org/cpc/datasheet/25544
Golovinomyces cichoracearum var. latisporus,,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,,18,2,16,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/25614
Gongylonema neoplasticum,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Nematoda,Secernentea,Spirurida,Gongylonematidae,invasive,2,1,2,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114619
Gonipterus scutellatus,eucalyptus snout beetle,Invertebrates,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,invasive,39,1,27,24,,,,https://www.cabi.org/cpc/datasheet/25719; https://www.cabi.org/isc/datasheet/25719
Grapevine asteroid mosaic-associated virus,,Viruses,,Basic datasheet,pest,Virus,,,,,,,7,1,5,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/122000
Grapevine fanleaf virus,grapevine court-noué virus,Viruses,,Full datasheet,pest,Virus,,,,Picornavirales,Secoviridae,,74,2,45,4,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26186
Grapevine flavescence doree phytoplasma,flavescence dorée of grapevine,Bacteria,Full datasheet,Full datasheet,"pest,invasiveSpecies",Bacteria,,Firmicutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,invasive,11,2,9,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26184; https://www.cabi.org/isc/datasheet/26184
Grapevine fleck virus,fleck of grapevine,Viruses,,Basic datasheet,pest,Virus,,,,,,,26,1,20,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26185
Grapevine leafroll-associated viruses,leafroll disease,Viruses,,Full datasheet,pest,Virus,,,,,Closteroviridae,,64,2,38,6,no data,,,https://www.cabi.org/cpc/datasheet/26188
Grapevine rupestris vein feathering virus,,Viruses,,Basic datasheet,pest,Virus,,,,Tymovirales,Tymoviridae,,17,2,13,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/118946
Grapevine virus A,grapevine closterovirus,Viruses,Full datasheet,Full datasheet,"pest,invasiveSpecies",Virus,,,,Tymovirales,Betaflexiviridae,invasive,54,2,34,7,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26189; https://www.cabi.org/isc/datasheet/26189
Grapevine yellow speckle viroid 1,,Viruses,,Basic datasheet,pest,Virus,,,,,Pospiviroidae,,17,2,10,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/118947
Grapevine yellows phytoplasmas,,Bacteria,Full datasheet,Full datasheet,"pest,invasiveSpecies",Bacteria,,Firmicutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,invasive,16,2,13,14,no data,,no data,https://www.cabi.org/cpc/datasheet/14061; https://www.cabi.org/isc/datasheet/14061
Grapholita molesta,Oriental fruit moth,Invertebrates,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,invasive,100,2,56,18,,,no data,https://www.cabi.org/cpc/datasheet/29904; https://www.cabi.org/isc/datasheet/29904
Grateloupia turuturu,,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,invasive,24,2,18,0,,no data,,https://www.cabi.org/isc/datasheet/109142
Gratiola neglecta,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Scrophulariales,Scrophulariaceae,invasive,3,1,2,0,,no data,no data,https://www.cabi.org/isc/datasheet/114630
Gravitarmata margarotana,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,,3,2,3,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/25846
Grus antigona,,Vertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Chordata,Aves,Gruiformes,Gruidae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114639
Gryllus bimaculatus,,Invertebrates,,Basic datasheet,"pest,hostAnimal",Eukaryota,Metazoa,Arthropoda,Insecta,Orthoptera,Gryllidae,,8,1,6,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/2659
Gugolzia harmolitae,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Pteromalidae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114640
Guignardia aesculi,leaf blotch: Aesculus spp.,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,,9,1,8,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26151
Guignardia bidwellii,black rot,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,,75,2,35,8,no data,,no data,https://www.cabi.org/cpc/datasheet/26152
Gunnera manicata,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Haloragales,Gunneraceae,invasive,7,2,7,0,,no data,no data,https://www.cabi.org/isc/datasheet/114641
Gunnera tinctoria,giant rhubarb,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Haloragales,Gunneraceae,invasive,21,1,20,0,,no data,no data,https://www.cabi.org/isc/datasheet/107826
Gymnaspis aechmeae,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Diaspididae,invasive,9,2,9,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114642
Gymnocoronis spilanthoides,Senegal tea plant,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,31,1,23,1,,no data,,https://www.cabi.org/isc/datasheet/26246
Gymnodinium aureolum,,Protozoa,Basic datasheet,,invasiveSpecies,Eukaryota,Protista,Protozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,invasive,6,2,6,0,,no data,no data,https://www.cabi.org/isc/datasheet/114644
Gymnodinium catenatum,,Protozoa,Full datasheet,,invasiveSpecies,Eukaryota,Protista,Protozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,invasive,36,1,21,0,,no data,,https://www.cabi.org/isc/datasheet/107772
Gymnosporangium clavariiforme,,Fungi/Chromista,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,,2,1,2,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26223
Gynaikothrips ficorum,Cuban laurel thrips,Invertebrates,Full datasheet,Full datasheet,"pest,naturalEnemy,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Thysanoptera,Phlaeothripidae,invasive,81,3,33,5,,no data,no data,https://www.cabi.org/cpc/datasheet/26258; https://www.cabi.org/isc/datasheet/26258
Gypsophila perfoliata,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Caryophyllales,Caryophyllaceae,invasive,20,1,14,0,,no data,no data,https://www.cabi.org/isc/datasheet/114649
Gypsophila repens,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Caryophyllales,Caryophyllaceae,invasive,9,2,9,0,,no data,no data,https://www.cabi.org/isc/datasheet/114651
Gypsophila tubulosa,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Caryophyllales,Caryophyllaceae,invasive,2,1,2,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114653
Gyropus ovalis,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Phthiraptera,Gyropidae,invasive,11,1,10,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114659
Hacquetia epipactis,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Apiales,Apiaceae,invasive,4,1,4,0,,no data,no data,https://www.cabi.org/isc/datasheet/114661
Haematoloma dorsata,,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Cercopidae,,3,1,3,5,no data,no data,no data,https://www.cabi.org/cpc/datasheet/27387
Haematonectria haematococca,dry rot of potato,Fungi/Chromista,,Full datasheet,"pest,naturalEnemy",Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,144,2,51,178,no data,,no data,https://www.cabi.org/cpc/datasheet/24697
Haematonectria ipomoeae,,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,2,1,2,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/35967
Hakea sericea,silky hakea,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Proteales,Proteaceae,invasive,13,1,9,0,,,,https://www.cabi.org/isc/datasheet/27302
Haminoea callidegenita,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,invasive,4,1,4,0,,no data,no data,https://www.cabi.org/isc/datasheet/114671
Haplophyllum buxbaumii,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Rutales,Rutaceae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114674
Haplophyllum linifolium,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Rutales,Rutaceae,invasive,1,1,1,0,,no data,no data,https://www.cabi.org/isc/datasheet/114675
Haplophyllum villosum,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Rutales,Rutaceae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114676
Haplosporidium armoricanum,,Protozoa,Basic datasheet,,invasiveSpecies,Eukaryota,Protista,Protozoa,,Balanospororida,Haplosporidiidae,invasive,3,2,3,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114677
Haplothrips aculeatus,grass thrips,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Thysanoptera,Phlaeothripidae,,37,2,24,39,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26481
Haplotinea insectella,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tineidae,invasive,8,1,8,0,,no data,no data,https://www.cabi.org/isc/datasheet/114680
Harmolita orchidearum,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Eurytomidae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114681
Hauptidia maroccana,"leafhopper, greenhouse",Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Cicadellidae,,2,1,2,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26557
Hawaiia minuscula,,Viruses,Basic datasheet,,invasiveSpecies,Virus,,,,,,invasive,7,1,6,0,,no data,no data,https://www.cabi.org/isc/datasheet/114685
Hedya nubiferana,bud moth,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,,19,3,17,5,no data,,no data,https://www.cabi.org/cpc/datasheet/6905
Helenium mexicanum,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114698
Helianthemum syriacum,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Malvales,Cistaceae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114699
Helianthus pauciflorus,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,20,1,17,0,,no data,no data,https://www.cabi.org/isc/datasheet/114705
Helichrysum foetidum,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,4,1,2,0,,no data,no data,https://www.cabi.org/isc/datasheet/114712
Helichrysum orientale,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Asterales,Asteraceae,invasive,3,1,3,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114714
Helicotylenchus dihystera,common spiral nematode,Invertebrates,,Full datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Nematoda,,,Hoplolaimidae,,183,1,60,203,no data,,,https://www.cabi.org/cpc/datasheet/26824
Heliothis peltigera,,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,,13,1,5,12,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26770
Heliothis viriplaca,"flax, budworm",Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,,8,1,5,5,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26762
Heliotropium curassavicum,salt heliotrope,Plants,Full datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Boraginales,Boraginaceae,invasive,112,1,47,0,,no data,,https://www.cabi.org/isc/datasheet/114723
Heliotropium dolosum,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Boraginales,Boraginaceae,invasive,2,1,2,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114724
Heliotropium supinum,,Plants,Basic datasheet,,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Boraginales,Boraginaceae,invasive,39,1,16,0,,no data,no data,https://www.cabi.org/isc/datasheet/114727
Helisoma anceps,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Mollusca,Gastropoda,Basommatophora,Planorbidae,invasive,3,1,3,0,,no data,no data,https://www.cabi.org/isc/datasheet/116364
Helisoma trivolis,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Mollusca,Gastropoda,Basommatophora,Planorbidae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114731
Helix pomatia,"snail, edible",Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Mollusca,Gastropoda,Stylommatophora,Helicidae,,9,2,9,2,,no data,no data,https://www.cabi.org/cpc/datasheet/80333
Hellula undalis,cabbage webworm,Invertebrates,,Full datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,,105,3,38,17,no data,no data,no data,https://www.cabi.org/cpc/datasheet/27375
Helminthosporium allii,dry rot: garlic,Fungi/Chromista,,Basic datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,,5,1,5,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26782
Helminthosporium solani,silver scurf,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,,62,3,49,1,no data,,no data,https://www.cabi.org/cpc/datasheet/26794
Helodrilus tenuis,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Annelida,Oligochaeta,Haplotaxida,Lumbricidae,invasive,1,1,1,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114740
Hemerobius humulinus,,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Neuroptera,Hemerobiidae,,13,1,10,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26854
Hemerocallis citrina,,Plants,Basic datasheet,,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Liliales,Liliaceae,invasive,13,1,5,0,,no data,no data,https://www.cabi.org/isc/datasheet/114742
Hemiberlesia cyanophylli,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Diaspididae,,16,1,13,5,no data,no data,no data,https://www.cabi.org/cpc/datasheet/1849
Hemiberlesia rapax,greedy scale (USA),Invertebrates,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Diaspididae,invasive,88,2,47,17,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26651; https://www.cabi.org/isc/datasheet/26651
Hemisarcoptes malus,,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Arachnida,,Hemisarcoptidae,,14,1,10,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/27437
Henbane mosaic virus,,Viruses,,Basic datasheet,pest,Virus,,,,,Potyviridae,,6,1,6,6,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26878
Henosepilachna elaterii,melon (ladybird) beetle,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Coccinellidae,,68,1,19,7,no data,no data,no data,https://www.cabi.org/cpc/datasheet/21504
Hercinothrips dimidiatus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Thysanoptera,Thripidae,,6,2,4,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/121939
Hercinothrips femoralis,banded greenhouse thrips,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Thysanoptera,Thripidae,,30,2,18,57,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26918
Heterobasidion abietinum,,Fungi/Chromista,,Full datasheet,pest,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,,12,1,12,22,no data,,no data,https://www.cabi.org/cpc/datasheet/27043
Heterobasidion annosum,,Fungi/Chromista,Full datasheet,Full datasheet,"pest,naturalEnemy,invasiveSpecies",Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,invasive,59,3,43,105,no data,,no data,https://www.cabi.org/cpc/datasheet/27042; https://www.cabi.org/isc/datasheet/27042
Heterobasidion parviporum,,Fungi/Chromista,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,invasive,45,2,37,53,no data,,no data,https://www.cabi.org/cpc/datasheet/27048; https://www.cabi.org/isc/datasheet/27048
Heterobostrychus brunneus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Bostrichidae,,10,1,4,1,,no data,no data,https://www.cabi.org/cpc/datasheet/27015
Heterodera carotae,carrot cyst nematode,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Nematoda,Secernentea,Tylenchida,Heteroderidae,,23,3,16,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/27021
Heterodera ciceri,chickpea cyst nematode,Invertebrates,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Nematoda,Secernentea,Tylenchida,Heteroderidae,invasive,7,1,4,7,no data,,,https://www.cabi.org/cpc/datasheet/27022; https://www.cabi.org/isc/datasheet/27022
Heterodera daverti,,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Nematoda,Secernentea,Tylenchida,Heteroderidae,,4,1,2,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/27025
Heterodera filipjevi,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Nematoda,Secernentea,Tylenchida,Heteroderidae,,23,1,13,9,no data,no data,no data,https://www.cabi.org/cpc/datasheet/110218
Heterodera humuli,hop cyst eelworm,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Nematoda,Secernentea,Tylenchida,Heteroderidae,,10,1,9,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/27030
Heterodera ustinovi,grass cyst nematode,Invertebrates,Full datasheet,Full datasheet,"pest,documentedSpecies",Eukaryota,Metazoa,Nematoda,Secernentea,Tylenchida,Heteroderidae,,16,2,11,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/81305084; https://www.cabi.org/isc/datasheet/81305084
Heteropogon contortus,spear grass,Plants,Full datasheet,Full datasheet,"crop,pest,hostPlant,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,82,1,30,0,no data,no data,no data,https://www.cabi.org/cpc/datasheet/26983; https://www.cabi.org/isc/datasheet/26983
Heteropterus morpheus,large chequered skipper,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,invasive,2,1,2,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114785
Himacerus apterus,,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Nabidae,,7,1,6,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/27188
Hippuris vulgaris,,Plants,Basic datasheet,,"invasiveSpecies,threatenedSpecies",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Callitrichales,Hippuridaceae,invasive,2,2,2,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114819
Hister bipunctatus,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Histeridae,invasive,3,1,2,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/114822
Holcus mollis,German velvetgrass,Plants,Basic datasheet,Basic datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Monocotyledonae,Cyperales,Poaceae,invasive,9,1,6,0,no data,no data,no data,https://www.cabi.org/cpc/datasheet/114825; https://www.cabi.org/isc/datasheet/114825
Holocnemus pluchei,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Pholcidae,invasive,17,2,17,0,,no data,no data,https://www.cabi.org/isc/datasheet/114826
Holoparamecus caularum,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Lathridiidae,invasive,2,1,1,0,,no data,no data,https://www.cabi.org/isc/datasheet/114827
Homarus americanus,American lobster,Invertebrates,Full datasheet,,"invasiveSpecies,vectorOfAnimalDisease,naturalEnemy,hostAnimal",Eukaryota,Metazoa,Arthropoda,Malacostraca,Decapoda,Nephropidae,invasive,29,3,19,0,,no data,,https://www.cabi.org/isc/datasheet/79674
Homoeosoma nebulella,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,,4,1,3,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/27416
Honeysuckle latent virus,,Viruses,,Basic datasheet,pest,Virus,,,,Tymovirales,Betaflexiviridae,,2,1,2,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/27896
Hop latent virus,,Viruses,,Basic datasheet,pest,Virus,,,,Tymovirales,Betaflexiviridae,,8,1,8,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/27551
Hop mosaic virus,,Viruses,,Basic datasheet,pest,Virus,,,,Tymovirales,Betaflexiviridae,,14,1,14,2,no data,no data,no data,https://www.cabi.org/cpc/datasheet/27592
