Search results from the CABI Horizon Scanning Tool <2022-01-25>,,,,,,,,,,,,,,,,,,,,
"Area at risk: Belgium ; Source Areas: France, Germany, Luxembourg, Netherlands ; Pathways: N/A (Including datasheets with no pathways data) ; Plant hosts: N/A ; Plant parts in trade: N/A  (Including datasheets with no plant part in trade data) ; Habitats: N/A  (Including datasheets with no habitats data) ; Taxonomic group: N/A",,,,,,,,,,,,,,,,,,,,
"Citation: <CABI, 2022. Horizon Scanning Tool. Crop Protection Compendium. Wallingford, UK: CAB International. https://www.cabi.org/cpc.>",,,,,,,,,,,,,,,,,,,,
Search Url: https://www.cabi.org/HorizonScanningTool/Country/SearchResult?guId=5e905232-cf28-4582-95f8-6b2bb560174f,,,,,,,,,,,,,,,,,,,,
For terms and conditions see: https://www.cabi.org/terms-and-conditions/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Preferred scientific name,International common name,Taxonomic group,ISC content,CPC content,Datasheet Type,Domain,Kingdom,Phylum,Class,Order,Family,Invasive Somewhere,Total number of presence records,Number of presence records in neighbouring geographic areas,Number of presence records in geographic areas with matching climate,Total Hosts,Habitats,Plant parts in trade,Pathways,Datasheet URL(s)
Acronicta psi,grey dagger moth,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,,10,1,8,5,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3013
Acrothrix gracilis,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Staphylinidae,invasive,1,1,1,0,,no data,no data,https://www.cabi.org/isc/datasheet/112034
Acrotona pseudotenera,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Ptiliidae,invasive,7,1,6,0,,no data,no data,https://www.cabi.org/isc/datasheet/112036
Actias isabellae,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Saturniidae,invasive,4,1,4,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/112037
Aculops fuchsiae,Fuchsia gall mite,Invertebrates,Full datasheet,Full datasheet,"pest,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Arachnida,,Eriophyidae,invasive,14,3,14,14,,,,https://www.cabi.org/cpc/datasheet/56110; https://www.cabi.org/isc/datasheet/56110
Aculops lycopersici,tomato russet mite,Invertebrates,Full datasheet,Full datasheet,"pest,naturalEnemy,invasiveSpecies",Eukaryota,Metazoa,Arthropoda,Arachnida,,Eriophyidae,invasive,119,2,57,19,no data,no data,no data,https://www.cabi.org/cpc/datasheet/56111; https://www.cabi.org/isc/datasheet/56111
Aculus fockeui,plum rust mite,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Arachnida,,Eriophyidae,,16,1,14,8,no data,no data,no data,https://www.cabi.org/cpc/datasheet/56109
Acyrthosiphon primulae,,Invertebrates,,Basic datasheet,"pest,vectorOfPlantPest",Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,,5,1,4,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/121327
Adalia decempunctata,,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Coccinellidae,,11,1,11,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3180
Adelges abietis,eastern spruce gall aphid,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Adelgidae,,25,2,18,8,,,no data,https://www.cabi.org/cpc/datasheet/48871
Adistemia watsoni,,Invertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Latridiidae,invasive,7,1,7,0,,no data,no data,https://www.cabi.org/isc/datasheet/112043
Adoristes ovatus,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Arachnida,,Liacaridae,,1,1,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3300
Aedes aegypti,,Invertebrates,Basic datasheet,,"invasiveSpecies,vectorOfAnimalDisease",Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,invasive,13,1,6,0,no data,no data,no data,https://www.cabi.org/isc/datasheet/94883
Aeolothrips intermedius,,Invertebrates,,Basic datasheet,"pest,naturalEnemy",Eukaryota,Metazoa,Arthropoda,Insecta,Thysanoptera,Aeolothripidae,,15,2,11,36,no data,no data,no data,https://www.cabi.org/cpc/datasheet/3434
Agabiformius lentus,,Vertebrates,Basic datasheet,,invasiveSpecies,Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Doradidae,invasive,1,1,1,0,,no data,no data,https://www.cabi.org/isc/datasheet/112053
