taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate,scenario
2864467,Butomus umbellatus,Cfb,Temperate oceanic climate,46990,60018,0.7829317871305275,2026-2050-A1FI
5403531,Crepis biennis,Cfb,Temperate oceanic climate,38646,56922,0.6789290608200695,2051-2075-A1FI
2864467,Butomus umbellatus,Cfb,Temperate oceanic climate,46990,60018,0.7829317871305275,2051-2075-A1FI
5403531,Crepis biennis,Cfa,Humid subtropical climate,44,56922,7.729875970626471e-4,2051-2075-A1FI
2864467,Butomus umbellatus,Cfa,Humid subtropical climate,251,60018,0.0041820787097204175,2051-2075-A1FI
5403531,Crepis biennis,Cfa,Humid subtropical climate,44,56922,7.729875970626471e-4,2076-2100-A1FI
2864467,Butomus umbellatus,Cfa,Humid subtropical climate,251,60018,0.0041820787097204175,2076-2100-A1FI
2864467,Butomus umbellatus,Csa,Hot-summer Mediterranean climate,205,60018,0.0034156419740744444,2076-2100-A1FI
5403531,Crepis biennis,Csa,Hot-summer Mediterranean climate,37,56922,6.500122975299533e-4,2076-2100-A1FI
5301200,Potamogeton perfoliatus,Cfb,Temperate oceanic climate,28930,60695,0.4766455226954444,2071-2100_Beck
5289642,Apera spica-venti,Cfb,Temperate oceanic climate,32197,39227,0.8207867030361741,2071-2100_Beck
5301200,Potamogeton perfoliatus,Cfa,Humid subtropical climate,237,60695,0.003904769750391301,2071-2100_Beck
5289642,Apera spica-venti,Cfa,Humid subtropical climate,151,39227,0.0038493894511433453,2071-2100_Beck
5301200,Potamogeton perfoliatus,Cfb,Temperate oceanic climate,28930,60695,0.4766455226954444,2001-2025-A1FI
5289642,Apera spica-venti,Cfb,Temperate oceanic climate,32197,39227,0.8207867030361741,2001-2025-A1FI
5301200,Potamogeton perfoliatus,Cfb,Temperate oceanic climate,28930,60695,0.4766455226954444,2026-2050-A1FI
5289642,Apera spica-venti,Cfb,Temperate oceanic climate,32197,39227,0.8207867030361741,2026-2050-A1FI
5301200,Potamogeton perfoliatus,Cfb,Temperate oceanic climate,28930,60695,0.4766455226954444,2051-2075-A1FI
5289642,Apera spica-venti,Cfb,Temperate oceanic climate,32197,39227,0.8207867030361741,2051-2075-A1FI
5301200,Potamogeton perfoliatus,Cfa,Humid subtropical climate,237,60695,0.003904769750391301,2051-2075-A1FI
5289642,Apera spica-venti,Cfa,Humid subtropical climate,151,39227,0.0038493894511433453,2051-2075-A1FI
5301200,Potamogeton perfoliatus,Cfa,Humid subtropical climate,237,60695,0.003904769750391301,2076-2100-A1FI
5289642,Apera spica-venti,Cfa,Humid subtropical climate,151,39227,0.0038493894511433453,2076-2100-A1FI
5289642,Apera spica-venti,Csa,Hot-summer Mediterranean climate,55,39227,0.0014020954954495628,2076-2100-A1FI
5301200,Potamogeton perfoliatus,Csa,Hot-summer Mediterranean climate,74,60695,0.001219210808139056,2076-2100-A1FI
3053376,Rorippa sylvestris,Cfa,Humid subtropical climate,380,39387,0.00964785335262904,2071-2100_Beck
3040251,Reseda luteola,Cfb,Temperate oceanic climate,38018,45898,0.828314959257484,2071-2100_Beck
3040251,Reseda luteola,Cfa,Humid subtropical climate,465,45898,0.010131160399145932,2071-2100_Beck
3053376,Rorippa sylvestris,Cfb,Temperate oceanic climate,30374,39387,0.7711681519283012,2071-2100_Beck
3040251,Reseda luteola,Cfb,Temperate oceanic climate,38018,45898,0.828314959257484,2001-2025-A1FI
3053376,Rorippa sylvestris,Cfb,Temperate oceanic climate,30374,39387,0.7711681519283012,2001-2025-A1FI
3040251,Reseda luteola,Cfb,Temperate oceanic climate,38018,45898,0.828314959257484,2026-2050-A1FI
3053376,Rorippa sylvestris,Cfb,Temperate oceanic climate,30374,39387,0.7711681519283012,2026-2050-A1FI
3053376,Rorippa sylvestris,Cfa,Humid subtropical climate,380,39387,0.00964785335262904,2051-2075-A1FI
3040251,Reseda luteola,Cfb,Temperate oceanic climate,38018,45898,0.828314959257484,2051-2075-A1FI
3040251,Reseda luteola,Cfa,Humid subtropical climate,465,45898,0.010131160399145932,2051-2075-A1FI
3053376,Rorippa sylvestris,Cfb,Temperate oceanic climate,30374,39387,0.7711681519283012,2051-2075-A1FI
3053376,Rorippa sylvestris,Cfa,Humid subtropical climate,380,39387,0.00964785335262904,2076-2100-A1FI
3040251,Reseda luteola,Csa,Hot-summer Mediterranean climate,1753,45898,0.03819338533269424,2076-2100-A1FI
3040251,Reseda luteola,Cfa,Humid subtropical climate,465,45898,0.010131160399145932,2076-2100-A1FI
3053376,Rorippa sylvestris,Csa,Hot-summer Mediterranean climate,589,39387,0.014954172696575013,2076-2100-A1FI
5328882,Sagittaria sagittifolia,Cfa,Humid subtropical climate,87,51922,0.0016755903085397326,2071-2100_Beck
5702572,Crepis vesicaria,Cfb,Temperate oceanic climate,25402,37633,0.6749926925836367,2071-2100_Beck
5328882,Sagittaria sagittifolia,Cfb,Temperate oceanic climate,41402,51922,0.7973883902777242,2071-2100_Beck
5702579,Crepis vesicaria,Cfa,Humid subtropical climate,657,37633,0.017458082002497807,2071-2100_Beck
5702572,Crepis vesicaria,Cfb,Temperate oceanic climate,25402,37633,0.6749926925836367,2001-2025-A1FI
5328882,Sagittaria sagittifolia,Cfb,Temperate oceanic climate,41402,51922,0.7973883902777242,2001-2025-A1FI
5702572,Crepis vesicaria,Cfb,Temperate oceanic climate,25402,37633,0.6749926925836367,2026-2050-A1FI
5328882,Sagittaria sagittifolia,Cfb,Temperate oceanic climate,41402,51922,0.7973883902777242,2026-2050-A1FI
5328882,Sagittaria sagittifolia,Cfa,Humid subtropical climate,87,51922,0.0016755903085397326,2051-2075-A1FI
5702572,Crepis vesicaria,Cfb,Temperate oceanic climate,25402,37633,0.6749926925836367,2051-2075-A1FI
5328882,Sagittaria sagittifolia,Cfb,Temperate oceanic climate,41402,51922,0.7973883902777242,2051-2075-A1FI
5702579,Crepis vesicaria,Cfa,Humid subtropical climate,657,37633,0.017458082002497807,2051-2075-A1FI
5328882,Sagittaria sagittifolia,Cfa,Humid subtropical climate,87,51922,0.0016755903085397326,2076-2100-A1FI
5328882,Sagittaria sagittifolia,Csa,Hot-summer Mediterranean climate,48,51922,9.244636185046801e-4,2076-2100-A1FI
5702579,Crepis vesicaria,Cfa,Humid subtropical climate,657,37633,0.017458082002497807,2076-2100-A1FI
5702579,Crepis vesicaria,Csa,Hot-summer Mediterranean climate,4928,37633,0.1309489012303032,2076-2100-A1FI
2925303,Lantana camara,Cfa,Humid subtropical climate,19669,54136,0.36332569824146593,2071-2100_Beck
6027328,Chaerophyllum hirsutum,Cfb,Temperate oceanic climate,18960,34269,0.5532697189880067,2071-2100_Beck
2925303,Lantana camara,Cfb,Temperate oceanic climate,3597,54136,0.06644377124279592,2071-2100_Beck
6027328,Chaerophyllum hirsutum,Cfa,Humid subtropical climate,5,34269,1.4590446175844057e-4,2071-2100_Beck
6027328,Chaerophyllum hirsutum,Cfb,Temperate oceanic climate,18960,34269,0.5532697189880067,2001-2025-A1FI
2925303,Lantana camara,Cfb,Temperate oceanic climate,3597,54136,0.06644377124279592,2001-2025-A1FI
6027328,Chaerophyllum hirsutum,Cfb,Temperate oceanic climate,18960,34269,0.5532697189880067,2026-2050-A1FI
2925303,Lantana camara,Cfb,Temperate oceanic climate,3597,54136,0.06644377124279592,2026-2050-A1FI
2925303,Lantana camara,Cfa,Humid subtropical climate,19669,54136,0.36332569824146593,2051-2075-A1FI
6027328,Chaerophyllum hirsutum,Cfb,Temperate oceanic climate,18960,34269,0.5532697189880067,2051-2075-A1FI
2925303,Lantana camara,Cfb,Temperate oceanic climate,3597,54136,0.06644377124279592,2051-2075-A1FI
6027328,Chaerophyllum hirsutum,Cfa,Humid subtropical climate,5,34269,1.4590446175844057e-4,2051-2075-A1FI
2925303,Lantana camara,Cfa,Humid subtropical climate,19669,54136,0.36332569824146593,2076-2100-A1FI
