taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate,scenario
5298086,Iris pallida,Cfb,Temperate oceanic climate,99,319,0.3103448275862069,2001-2025-A1FI
5298086,Iris pallida,Cfb,Temperate oceanic climate,99,319,0.3103448275862069,2026-2050-A1FI
5298086,Iris pallida,Cfb,Temperate oceanic climate,99,319,0.3103448275862069,2051-2075-A1FI
3158779,Legousia pentagonia,Csa,Hot-summer Mediterranean climate,158,216,0.7314814814814815,2076-2100-A1FI
3139715,Gamochaeta falcata,Cfa,Humid subtropical climate,48,178,0.2696629213483146,2071-2100_Beck
3139715,Gamochaeta falcata,Cfb,Temperate oceanic climate,92,178,0.5168539325842697,2071-2100_Beck
3139715,Gamochaeta falcata,Cfb,Temperate oceanic climate,92,178,0.5168539325842697,2001-2025-A1FI
3139715,Gamochaeta falcata,Cfb,Temperate oceanic climate,92,178,0.5168539325842697,2026-2050-A1FI
3139715,Gamochaeta falcata,Cfa,Humid subtropical climate,48,178,0.2696629213483146,2051-2075-A1FI
3139715,Gamochaeta falcata,Cfb,Temperate oceanic climate,92,178,0.5168539325842697,2051-2075-A1FI
5403256,Crepis dioscoridis,Csa,Hot-summer Mediterranean climate,208,292,0.7123287671232876,2076-2100-A1FI
3139715,Gamochaeta falcata,Cfa,Humid subtropical climate,48,178,0.2696629213483146,2076-2100-A1FI
4140233,Vulpia delicatula,Csa,Hot-summer Mediterranean climate,58,102,0.5686274509803921,2076-2100-A1FI
3631370,Kundmannia sicula,Csa,Hot-summer Mediterranean climate,152,196,0.7755102040816326,2076-2100-A1FI
7308818,Ziziphora capitata,Csa,Hot-summer Mediterranean climate,150,303,0.49504950495049505,2076-2100-A1FI
3812695,Cerastium comatum,Cfb,Temperate oceanic climate,69,336,0.20535714285714285,2071-2100_Beck
3885499,Salvia tomentosa,Cfa,Humid subtropical climate,79,342,0.2309941520467836,2071-2100_Beck
3812695,Cerastium comatum,Cfb,Temperate oceanic climate,69,336,0.20535714285714285,2001-2025-A1FI
3812695,Cerastium comatum,Cfb,Temperate oceanic climate,69,336,0.20535714285714285,2026-2050-A1FI
3812695,Cerastium comatum,Cfb,Temperate oceanic climate,69,336,0.20535714285714285,2051-2075-A1FI
3885499,Salvia tomentosa,Cfa,Humid subtropical climate,79,342,0.2309941520467836,2051-2075-A1FI
5939846,Micropus supinus,Csa,Hot-summer Mediterranean climate,128,171,0.7485380116959064,2076-2100-A1FI
3812695,Cerastium comatum,Csa,Hot-summer Mediterranean climate,172,336,0.5119047619047619,2076-2100-A1FI
3885499,Salvia tomentosa,Cfa,Humid subtropical climate,79,342,0.2309941520467836,2076-2100-A1FI
3759530,Corispermum marschallii,Cfb,Temperate oceanic climate,123,223,0.5515695067264574,2071-2100_Beck
3759530,Corispermum marschallii,Cfb,Temperate oceanic climate,123,223,0.5515695067264574,2001-2025-A1FI
3759530,Corispermum marschallii,Cfb,Temperate oceanic climate,123,223,0.5515695067264574,2026-2050-A1FI
3759530,Corispermum marschallii,Cfb,Temperate oceanic climate,123,223,0.5515695067264574,2051-2075-A1FI
2972545,Onobrychis aequidentata,Csa,Hot-summer Mediterranean climate,210,342,0.6140350877192983,2076-2100-A1FI
5537578,Angelica pachycarpa,Cfb,Temperate oceanic climate,164,192,0.8541666666666666,2071-2100_Beck
5537578,Angelica pachycarpa,Cfb,Temperate oceanic climate,164,192,0.8541666666666666,2001-2025-A1FI
5537578,Angelica pachycarpa,Cfb,Temperate oceanic climate,164,192,0.8541666666666666,2026-2050-A1FI
5537578,Angelica pachycarpa,Cfb,Temperate oceanic climate,164,192,0.8541666666666666,2051-2075-A1FI
7392213,Fumaria kralikii,Csa,Hot-summer Mediterranean climate,69,286,0.24125874125874125,2076-2100-A1FI
5362012,Sedum praealtum,Cfb,Temperate oceanic climate,169,331,0.5105740181268882,2071-2100_Beck
2746008,Hesperantha coccinea,Cfb,Temperate oceanic climate,177,331,0.5347432024169184,2071-2100_Beck
5362012,Sedum praealtum,Cfb,Temperate oceanic climate,169,331,0.5105740181268882,2001-2025-A1FI
2746008,Hesperantha coccinea,Cfb,Temperate oceanic climate,177,331,0.5347432024169184,2001-2025-A1FI
5362012,Sedum praealtum,Cfb,Temperate oceanic climate,169,331,0.5105740181268882,2026-2050-A1FI
2746008,Hesperantha coccinea,Cfb,Temperate oceanic climate,177,331,0.5347432024169184,2026-2050-A1FI
5362012,Sedum praealtum,Cfb,Temperate oceanic climate,169,331,0.5105740181268882,2051-2075-A1FI
2746008,Hesperantha coccinea,Cfb,Temperate oceanic climate,177,331,0.5347432024169184,2051-2075-A1FI
2771988,Bellevalia trifoliata,Csa,Hot-summer Mediterranean climate,161,208,0.7740384615384616,2076-2100-A1FI
8049140,Aloysia citrodora,Cfb,Temperate oceanic climate,52,187,0.27807486631016043,2071-2100_Beck
8049140,Aloysia citrodora,Cfb,Temperate oceanic climate,52,187,0.27807486631016043,2001-2025-A1FI
8049140,Aloysia citrodora,Cfb,Temperate oceanic climate,52,187,0.27807486631016043,2026-2050-A1FI
