taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate
7553098,Schoenoplectus lacustris,Aw,"Tropical savanna, wet",242,60913,0.003972879352519167
2882398,Ceratophyllum demersum,As,Tropical dry savanna climate,7,66019,1.0603008224904952e-4
2710944,Schoenoplectus lacustris,Dwb,Monsoon-influenced warm-summer humid continental climate,5,60913,8.208428414295799e-5
7553098,Schoenoplectus lacustris,Dwd,Monsoon-influenced extremely cold subarctic climate,1,60913,1.6416856828591598e-5
2710941,Schoenoplectus lacustris,Dsc,Dry-summer regular subarctic climate,1,60913,1.6416856828591598e-5
2710944,Schoenoplectus lacustris,Dsa,"Hot, dry-summer continental climate",1,60913,1.6416856828591598e-5
5361760,Myriophyllum spicatum,Dfb,Warm-summer humid continental climate,15255,52699,0.28947418357084576
5361760,Myriophyllum spicatum,Dfc,Subarctic climate,424,52699,0.008045693466669196
5361760,Myriophyllum spicatum,BSk,Cold semi-arid (steppe) climate,233,52699,0.0044213362682403844
5361760,Myriophyllum spicatum,Cfb,Temperate oceanic climate,33165,52699,0.6293288297690658
5329266,Hydrocharis morsus-ranae,Cfb,Temperate oceanic climate,43863,66026,0.6643292036470482
5361760,Myriophyllum spicatum,Cfc,Subpolar oceanic climate,101,52699,0.0019165449059754455
5361760,Myriophyllum spicatum,NA,NA,897,52699,0.01702119584811856
5329266,Hydrocharis morsus-ranae,Dfb,Warm-summer humid continental climate,15056,66026,0.22803138157695454
5361760,Myriophyllum spicatum,Cfa,Humid subtropical climate,578,52699,0.010967950055978292
5329266,Hydrocharis morsus-ranae,NA,NA,77,66026,0.0011662072516887287
5329266,Hydrocharis morsus-ranae,Dfc,Subarctic climate,1218,66026,0.018447278344894437
5329266,Hydrocharis morsus-ranae,Csa,Hot-summer Mediterranean climate,70,66026,0.001060188410626117
5361760,Myriophyllum spicatum,ET,Tundra,41,52699,7.780033776732006e-4
5361760,Myriophyllum spicatum,Dfa,Hot-summer humid continental climate,418,52699,0.007931839313838972
5361760,Myriophyllum spicatum,Dwa,Monsoon-influenced hot-summer humid continental climate,37,52699,7.021006091197177e-4
5361760,Myriophyllum spicatum,Dwb,Monsoon-influenced warm-summer humid continental climate,9,52699,1.7078122924533672e-4
5361760,Myriophyllum spicatum,Csb,Warm-summer Mediterranean climate,226,52699,0.004288506423271789
5361760,Myriophyllum spicatum,Dsb,"Warm, dry-summer continental climate",392,52699,0.007438471318241333
5361760,Myriophyllum spicatum,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,29,52699,5.502950720127517e-4
5361760,Myriophyllum spicatum,Csa,Hot-summer Mediterranean climate,739,52699,0.014023036490255983
5329266,Hydrocharis morsus-ranae,Csb,Warm-summer Mediterranean climate,12,66026,1.8174658467876292e-4
5361760,Myriophyllum spicatum,Cwa,Monsoon-influenced humid subtropical climate,31,52699,5.882464562894931e-4
